0;490;-120;-250;4880
0,032;490;-60;-250;4870
0,064;500;-60;-250;4870
0,096;490;-30;-250;4870
0,128;490;-30;-250;4870
0,16;490;-30;-500;4850
0,192;500;-45;-500;4850
0,224;500;-30;-500;4840
0,256;500;-75;-500;4850
0,288;510;-105;-500;4850
0,32;500;-120;-500;4840
0,352;490;-90;-750;4810
0,384;490;-30;-750;4800
0,416;490;-15;-750;4790
0,448;490;0;-750;4760
0,48;490;0;-750;4750
0,512;490;0;-750;4760
0,544;490;75;-750;4790
0,576;490;210;0;4810
0,608;610;525;250;4810
0,64;810;1305;750;4760
0,672;990;1260;1250;4080
0,704;1070;1350;2250;2200
0,736;1090;1500;3000;950
0,768;1130;1425;3750;430
0,8;1150;1500;4500;230
0,832;1160;1530;5250;150
0,864;1180;1410;6250;120
0,896;1170;1350;7000;120
0,928;1170;1350;7500;120
0,96;1180;1215;9250;110
0,992;1180;1215;9250;110
1,024;1180;1110;10000;110
1,056;1200;990;10500;120
1,088;1190;945;11000;110
1,12;1190;870;11500;110
1,152;1190;780;12000;110
1,184;1190;705;12500;120
1,216;1200;690;12750;110
1,248;1200;585;13000;110
1,28;1200;510;13250;120
1,312;1210;450;13500;120
1,344;1210;300;13750;120
1,376;1000;-195;13000;120
1,408;640;-1800;12250;110
1,44;590;-1425;10500;130
1,472;590;-1425;10500;130
1,504;550;-1335;9750;200
1,536;550;-1395;9000;300
1,568;560;-1410;8500;840
1,6;550;-1335;7750;1670
1,632;540;-1290;7250;2720
1,664;520;-1245;6500;3810
1,696;510;-1245;5750;4190
1,728;500;-1215;5250;4450
1,76;490;-1140;4750;4570
1,792;490;-1080;4250;4600
1,824;490;-990;3750;4630
1,856;490;-870;3250;4660
1,888;490;-795;3000;4680
1,92;500;-645;2000;4730
1,952;500;-645;2000;4730
1,984;510;-540;1750;4770
2,016;500;-510;1500;4800
2,048;500;-480;1250;4830
2,08;500;-450;1000;4850
2,112;500;-435;1000;4850
2,144;500;-405;750;4860
2,176;490;-360;500;4870
2,208;500;-315;250;4870
2,24;500;-225;250;4890
2,272;490;-180;250;4880
2,304;500;-150;0;4860
2,336;500;-150;0;4860
2,368;500;-165;0;4860
2,4;510;-150;0;4870
2,432;500;-135;0;4880
2,464;500;-120;0;4880
2,496;500;-120;0;4880
2,528;500;-90;0;4880
2,56;500;-120;-250;4870
2,592;500;-120;-250;4870
2,624;500;-105;-250;4850
2,656;500;-120;-500;4850
2,688;500;-135;-500;4830
2,72;510;-150;-500;4810
2,752;500;-150;-750;4800
2,784;490;-120;-750;4780
2,816;490;-90;-750;4760
2,848;490;-30;-750;4770
2,88;490;0;-750;4760
2,912;480;0;-750;4740
2,944;480;15;-750;4730
2,976;490;135;0;4740
3,008;520;300;0;4760
3,04;1010;1350;1500;4230
3,072;1010;1350;1500;4230
3,104;1070;1515;2500;2400
3,136;1120;1410;3250;1140
3,168;1130;1545;4000;500
3,2;1160;1500;4750;300
3,232;1170;1500;5500;150
3,264;1160;1395;6500;120
3,296;1190;1290;7000;110
3,328;1180;1260;7750;110
3,36;1180;1185;8500;120
3,392;1180;1170;9000;120
3,424;1190;1125;9750;120
3,456;1190;1005;10250;110
3,488;1190;960;10750;110
3,52;1190;795;12000;110
3,552;1190;795;12000;110
3,584;1190;735;12500;120
3,616;1190;645;12750;110
3,648;1190;600;13000;120
3,68;1200;525;13250;120
3,712;1200;450;13500;120
3,744;1200;315;13750;120
3,776;780;-480;13000;120
3,808;640;-1635;12250;120
3,84;590;-1455;11500;120
3,872;590;-1500;10750;130
3,904;570;-1455;10000;160
3,936;560;-1440;9250;280
3,968;540;-1380;8500;670
4;540;-1335;7000;3340
4,032;540;-1335;7000;3340
4,064;500;-1155;6250;4000
4,096;510;-1245;5500;4200
4,128;500;-1155;5000;4390
4,16;500;-1110;4500;4480
4,192;500;-1035;4000;4580
4,224;490;-930;3500;4630
4,256;490;-870;3000;4660
4,288;490;-810;2750;4680
